Type,Bed,Bath,Size,BER,Asking Price,Not Full Market Price,VAT Exclusive,latitude,longitude,ifsc_drive_distance_km,ifsc_walk_distance_km,ifsc_bike_distance_km,ifsc_transit_distance_km,Airport_distance_km,nearest_coast_name,coast_distance_km,eircode_area,month_sin,month_cos,day_sin,day_cos,Price_Difference_%
Terrace,3.0,2.0,133.0,B3,950000.0,No,No,53.31276949999999,-6.2024485,6.564,5.797,6.306,8.048,19.184,Sandymount Strand,1.986,D04,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,10.526315789473683
Apartment,3.0,3.0,207.0,B3,1550000.0,No,No,53.3672988,-6.3578391,10.572,8.626,8.616,11.285,15.333,Ringsend,24.074,D15,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,-4.516129032258064
Semi-D,4.0,2.0,140.0,D1,595000.0,No,No,53.2509174,-6.1345438,15.675,14.494,14.95,16.628,40.692,Killiney Beach,2.114,A96,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,7.899159663865546
Semi-D,4.0,3.0,134.0,C3,540000.0,No,No,53.3811889,-6.172217799999999,6.92,6.905,6.955,7.264,10.37,Bull Island,3.345,D05,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,12.037037037037036
Bungalow,2.0,1.0,60.0,D2,525000.0,No,No,53.2855011,-6.1319639,12.676,11.985,12.727,13.319,44.683,Dún Laoghaire,1.296,A96,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,16.19047619047619
Apartment,2.0,2.0,78.0,E1,499000.0,No,No,53.3775466,-6.0571496,16.46,15.551,16.978,16.128,19.335,Howth Head,8.497,D13,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,0.0
End of Terrace,4.0,3.0,174.0,B2,895000.0,No,No,53.2817427,-6.145338,12.496,11.431,12.329,14.089,38.958,Monkstown,1.993,A96,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,11.731284916201117
Semi-D,3.0,2.0,131.7,Unknown,1395000.0,No,No,53.3186493,-6.2503661,4.768,4.171,5.45,5.458,19.702,Ringsend,3.866,D06,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,14.695340501792115
Apartment,2.0,1.0,52.0,E1,450000.0,No,No,53.2716133,-6.0967936,16.3,15.008,15.751,15.774,45.447,Dalkey,0.32,A96,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,2.2222222222222223
Detached,4.0,2.0,139.0,E2,795000.0,No,No,53.3740813,-6.23861,3.391,3.426,4.083,4.102,7.9,Clontarf Seafront,4.032,D09,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,5.031446540880504
Terrace,3.0,1.0,81.0,C1,625000.0,No,No,53.3033246,-6.2245975,8.438,7.289,7.737,9.118,22.893,Blackrock,4.704,D14,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,14.399999999999999
Semi-D,3.0,2.0,87.0,C3,330000.0,No,No,53.4013139,-6.4183343,25.033,14.586,14.809,14.914,17.292,Ringsend,26.032,D15,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,16.969696969696972
Terrace,3.0,4.0,137.0,B2,895000.0,No,No,53.3392537,-6.2427557,1.617,1.505,1.622,1.505,16.061,Ringsend,1.519,D02,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,12.290502793296088
Terrace,3.0,2.0,92.0,F,599000.0,No,No,53.3360809,-6.2507025,2.618,1.926,2.27,3.802,17.063,Ringsend,2.402,D02,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,0.5008347245409015
End of Terrace,2.0,1.0,72.0,Unknown,260000.0,No,No,53.3391578,-6.3633156,10.534,8.615,9.084,9.339,19.657,Ringsend,11.173,D10,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,5.0
Terrace,3.0,3.0,104.0,C1,500000.0,No,No,53.2479794,-6.179513699999999,14.341,14.361,15.061,16.436,37.333,Killiney Beach,6.521,D18,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,7.000000000000001
Apartment,3.0,2.0,95.0,C2,395000.0,No,No,53.2484499,-6.145266700000001,15.816,15.489,15.665,18.637,40.296,Killiney Beach,3.106,D18,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,7.721518987341772
Semi-D,3.0,1.0,105.0,E1,490000.0,No,No,53.3949479,-6.2772844,7.522,6.764,7.214,7.978,8.258,Clontarf Seafront,8.741,D11,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,20.408163265306122
Semi-D,3.0,2.0,90.0,C2,549950.0,No,No,53.23799959999999,-6.1300352,16.05,16.164,16.125,17.453,41.494,Killiney Beach,4.254,D18,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,9.100827347940722
Apartment,2.0,1.0,51.7,D2,375000.0,No,No,53.3131928,-6.282548299999999,6.497,5.591,5.599,6.327,28.549,Ringsend,5.783,D6W,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,6.666666666666667
Semi-D,4.0,3.0,117.0,C3,795000.0,No,No,53.30719269999999,-6.2067567,7.257,6.95,7.173,7.905,21.078,Blackrock,3.495,A94,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,18.238993710691823
Terrace,4.0,1.0,122.0,E2,690000.0,No,No,53.3401707,-6.221984,3.647,2.576,2.745,2.886,16.267,Ringsend,0.97,D04,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,8.695652173913043
Semi-D,4.0,3.0,107.0,C1,470000.0,No,No,53.3866907,-6.4228955,26.123,14.132,14.735,14.86,18.383,Ringsend,27.123,D15,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,13.829787234042554
Apartment,2.0,2.0,85.0,B3,540000.0,No,No,53.3454377,-6.237199899999999,1.088,1.087,1.093,1.158,15.532,Ringsend,1.751,D02,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,1.1111111111111112
