Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2025","11 DAVIS COURT, THOMAS DAVIS ST WEST, INCHICORE DUBLIN 8","Dublin","D08WK61","�239,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2025","17 STATION COURT PARK, COOLMINE, DUBLIN 15","Dublin","D15PF25","�326,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2025","219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4","Dublin","D04X5K5","�1,050,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2025","27 ST PETERS SQ, PHIBSBOROUGH RD, PHIBSBOROUGH DUBLIN 7","Dublin","D07X627","�395,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2025","28 MONASTERBOICE RD, CRUMLIN, DUBLIN 12","Dublin","D12F9F8","�340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2025","9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK","Dublin","D15WK31","�1,480,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE","Dublin","A96P8V0","�610,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","13 VICO ROCK, SORRENTO RD, DALKEY","Dublin","A96T925","�460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5","Dublin","D05XH97","�605,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","3 Woodbrook Court, Woodbrook, Shankill","Dublin","A98R8A0","�616,740.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2025","36 ALBANY ROAD, RANELAGH, DUBLIN 6","Dublin","D06N6F7","�1,600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN","Dublin","A96CR62","�999,995.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9","Dublin","D09F9N2","�835,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","51 THE NICHOLSON, LANSDOWNE PLACE, BALLSBRIDGE","Dublin","D04E7F4","�2,863,436.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2025","62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN","Dublin","A96W1D6","�642,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2025","APT 3, ROOKSTOWN, THORMANBY RD","Dublin","D13NY54","�499,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","100 THE OVAL, TULLYVALE, CABINTEELY DUBLIN 18","Dublin","D18AV66","�425,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","12 ENAVILLE AVE, BALLYBOUGH, DUBLIN 3","Dublin","D03XN20","�262,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","12 PORTERSGATE WAY, CLONSILLA, DUBLIN 15","Dublin","D15W8YC","�535,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","13 ALBERT PLACE EAST, LOWER GRAND CANAL STREET, DUBLIN 2","Dublin","D02PF38","�1,005,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","13 STATION COURT, DONABATE, DUBLIN","Dublin","K36CX80","�285,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","16 ANNALY TERRACE, ONGAR, DUBLIN 15","Dublin","D15V1KP","�325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","17 WESTHAVEN, CLONSILLA, DUBLIN 15","Dublin","D15EK6X","�386,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","19 PEMBROKE LANE, PEMBROKE ST LOWER, DUBLIN 2","Dublin","D02C5F6","�602,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","22 THE TERRACE, CARRICKMINES MANOR, DUBLIN 18","Dublin","D18T274","�535,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","25 FOSTERBROOK, BOOTERSTOWN, BLACKROCK","Dublin","A94WC94","�940,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","27 ANNFIELD COURT, CASTLEKNOCK, DUBLIN 15","Dublin","D15P2W9","�435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","29A BROOKVILLE PARK, BLACKROCK, CO DUBLIN","Dublin","A94P785","�392,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2025","3 STRASBURG TERRACE, IRISHTOWN, DUBLIN 4","Dublin","D04HA29","�750,000.00","No","No","Second-Hand Dwelling house /Apartment",""
