Address,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price
"219 Llandaff Terrace, Merrion Road, Dublin 4, Dublin 4, Dublin",Terrace,3,2,133.0 m²,B3,—,02/01/2025,"€950,000","€1,050,000"
"9 Maple Lodge, Farmleigh Woods, Castleknock, Dublin 15, Dublin",Apartment,3,3,207.0 m²,B3,—,02/01/2025,"€1,550,000","€1,480,000"
"62 Wyattville Park, Dun Laoghaire, Dublin, Dublin",Semi-D,4,2,140.0 m²,D1,—,03/01/2025,"€595,000","€642,000"
"2a St Assams Rd West, Raheny, Dublin 5, Dublin 5, Dublin",Semi-D,4,3,134.0 m²,C3,—,03/01/2025,"€540,000","€605,000"
"1 Glengara Close, Glenageary Rd Lower, Dun Laoghaire, Dublin",Bungalow,2,1,60.0 m²,D2,—,03/01/2025,"€525,000","€610,000"
"Apt 3, Rookstown, Thormanby Rd, Dublin 13, Dublin",Apartment,2,2,78.0 m²,E1,—,03/01/2025,"€499,000","€499,000"
"4 Marconi Crescent, Honeypark Dun Laoghaire, Co Dublin, Dublin",End of Terrace,4,3,174.0 m²,B2,—,03/01/2025,"€895,000","€999,995"
"36 Albany Road, Ranelagh, Dublin 6, Dublin 6, Dublin",Semi-D,3,2,131.7 m²,—,—,03/01/2025,"€1,395,000","€1,600,000"
"13 Vico Rock, Sorrento Rd, Dalkey, Dublin",Apartment,2,1,52.0 m²,E1,—,03/01/2025,"€450,000","€460,000"
"43 Glandore Rd, Griffith Ave, Dublin 9, Dublin 15, Dublin",Detached,4,2,139.0 m²,E2,—,03/01/2025,"€795,000","€835,000"
"50 Roebuck Castle, Clonskeagh, Dublin 14, Dublin 14, Dublin",Terrace,3,1,81.0 m²,C1,—,06/01/2025,"€625,000","€715,000"
"17 Westhaven, Clonsilla, Dublin 15, Dublin 15, Dublin",Semi-D,3,2,87.0 m²,C3,—,06/01/2025,"€330,000","€386,000"
"13 Albert Place East, Lower Grand Canal Street, Dublin 2, Dublin 2, Dublin",Terrace,3,4,137.0 m²,B2,—,06/01/2025,"€895,000","€1,005,000"
"19 Pembroke Lane, Pembroke St Lower, Dublin 2, Dublin 2, Dublin",Terrace,3,2,92.0 m²,F,—,06/01/2025,"€599,000","€602,000"
"32 Oranmore Rd, Ballyfermot, Dublin 10, Dublin 10, Dublin",End of Terrace,2,1,72.0 m²,—,—,06/01/2025,"€260,000","€273,000"
"22 The Terrace, Carrickmines Manor, Dublin 18, Dublin 18, Dublin",Terrace,3,3,104.0 m²,C1,—,06/01/2025,"€500,000","€535,000"
"100 The Oval, Tullyvale, Cabinteely Dublin 18, Dublin 18, Dublin",Apartment,3,2,95.0 m²,C2,—,06/01/2025,"€395,000","€425,500"
"81 Pinewood Crescent, Glasnevin North, Dublin 11, Dublin",Semi-D,3,1,105.0 m²,E1,—,06/01/2025,"€490,000","€590,000"
"30 Parknasilla Rise, Loughlistown, Co Dublin, Dublin 18, Dublin",Semi-D,3,2,90.0 m²,C2,—,06/01/2025,"€549,950","€600,000"
"7 Eaton Court, Terenure Rd North, Terenure Dublin 6w, Dublin",Apartment,2,1,51.7 m²,D2,—,06/01/2025,"€375,000","€400,000"
"25 Fosterbrook, Booterstown, Blackrock, Dublin",Semi-D,4,3,117.0 m²,C3,—,06/01/2025,"€795,000","€940,000"
"3 Strasburg Terrace, Irishtown, Dublin 4, Dublin 4, Dublin",Terrace,4,1,122.0 m²,E2,—,06/01/2025,"€690,000","€750,000"
"12 Portersgate Way, Clonsilla, Dublin 15, Dublin 15, Dublin",Semi-D,4,3,107.0 m²,C1,—,06/01/2025,"€470,000","€535,000"
"93 Hanover Riverside, Sir John Rogersons Quay, Riverside Dublin 2, Dublin 2, Dublin",Apartment,2,2,85.0 m²,B3,—,06/01/2025,"€540,000","€546,000"
"4 Belgrove Park, Chapelizod, Dublin 20, Dublin 20, Dublin",Semi-D,3,2,109.0 m²,F,—,07/01/2025,"€560,000","€530,000"
"Apt 15 Le Hunt House, Brennanstown, Dublin 18, Dublin",Apartment,2,2,76.0 m²,B3,—,07/01/2025,"€405,000","€405,000"
"34 Templecourtnorthwoo, Santry, Dublin 9, Dublin 9, Dublin",Apartment,2,2,64.0 m²,—,—,07/01/2025,"€295,000","€339,000"
"1 Rosemount Court, Inchicore Rd, Kilmainham Dublin 8, Dublin 8, Dublin",Apartment,1,1,37.2 m²,C3,—,07/01/2025,"€260,000","€313,000"
"65 The Lighthouse Apts, Church Rd East Wall, Dublin 3, Dublin 3, Dublin",Apartment,2,2,71.0 m²,B2,—,07/01/2025,"€375,000","€410,000"
"73 Barton Rd East, Churchtown, Dublin 14, Dublin 14, Dublin",Semi-D,3,2,109.0 m²,E1,—,07/01/2025,"€699,000","€744,000"
"Glendarragh, 70 Merrion Rd, Ballsbridge Dublin 4, Dublin 4, Dublin",Semi-D,4,3,201.0 m²,E1,—,07/01/2025,"€1,550,000","€1,750,000"
"32 Glenwood Rd, Cameron Park, Dublin 5, Dublin 5, Dublin",Semi-D,3,1,95.0 m²,C2,—,07/01/2025,"€480,000","€530,000"
"15 Ballyowen Hall, Lucan, Dublin, Dublin",Apartment,2,2,61.0 m²,C2,—,07/01/2025,"€260,000","€314,000"
"60 Larkhill Rd, Whitehall, Dublin 9, Dublin 9, Dublin",Terrace,3,2,85.8 m²,D1,—,07/01/2025,"€425,000","€452,000"
"63 Baltrasna House, Spencer Dock, Dublin 1, Dublin 1, Dublin",Apartment,2,2,72.0 m²,—,—,07/01/2025,"€425,000","€410,000"
"51 Castle Grove, Kilgobbin Wood, Sandyford Dublin 18, Dublin 18, Dublin",Semi-D,5,4,166.0 m²,C2,—,07/01/2025,"€750,000","€750,000"
"13 Gledswood Park, Clonskeagh, Dublin 14, Dublin 14, Dublin",Semi-D,4,2,140.0 m²,B3,—,07/01/2025,"€975,000","€1,000,000"
"5 Grangeview Place, Clondalkin, Dublin 22, Dublin 22, Dublin",Apartment,2,1,66.0 m²,D1,—,07/01/2025,"€260,000","€260,000"
"85 Block A, Smithfield Market, Smithfield Dublin 7, Dublin 7, Dublin",Apartment,1,1,59.0 m²,C1,—,07/01/2025,"€299,000","€346,000"
"11 Cherry Garth, Mount Merrion, Dublin, Dublin",Bungalow,4,1,132.0 m²,G,—,07/01/2025,"€975,000","€1,051,000"
"Apt 59 Littlewood, Belarmine, Enniskerry Rd, Dublin 18, Dublin",Apartment,2,2,80.0 m²,B3,—,07/01/2025,"€410,000","€457,000"
"8d Belfield Court, Donnybrook Dublin 4, Dublin, Dublin 4, Dublin",Apartment,1,1,46.0 m²,E2,—,08/01/2025,"€325,000","€350,000"
"21 Beech Park Rd, Dublin 18, Dublin, Dublin 18, Dublin",Detached,5,3,172.0 m²,E2,—,08/01/2025,"€895,000","€925,000"
"Puckoon, Newtown, Near Garristown, Dublin",Detached,4,3,196.0 m²,B3,—,08/01/2025,"€700,000","€760,000"
"55 Verschoyle Park Saggart Abbey, Saggart, Dublin, Dublin 24, Dublin",Semi-D,3,2,111.0 m²,—,—,08/01/2025,"€350,000","€416,000"
"14 Kirkpatrick House, Spencer Dock, I F S C Dublin 1, Dublin 1, Dublin",Apartment,2,1,48.0 m²,C1,—,08/01/2025,"€340,000","€330,000"
"47 Boden Heath Ballyboden, Dublin 16, Dublin, Dublin 16, Dublin",Apartment,2,2,77.0 m²,C1,—,08/01/2025,"€380,000","€430,000"
"66 Palmerstown Ave, Palmerstown, Dublin 20, Dublin 20, Dublin",Terrace,3,2,96.0 m²,C3,—,08/01/2025,"€385,000","€447,650"
"90 Merrion Rd, Dublin 4, Dublin 15, Dublin",Semi-D,5,3,324.0 m²,B3,—,08/01/2025,"€2,700,000","€2,800,000"
"12 Roebuck Park, Clonskeagh, Dublin 14, Dublin 14, Dublin",Terrace,3,3,165.0 m²,B3,—,08/01/2025,"€850,000","€980,000"
"127 Gracepark Manor, Drumcondra, Dublin 9, Dublin 9, Dublin",Apartment,3,2,97.0 m²,B3,—,08/01/2025,"€500,000","€500,000"
"Apartment 16 Block 5, Gallery Quay, Grand Canal Dock, Dublin",Apartment,3,3,107.0 m²,C2,—,08/01/2025,"€545,000","€477,000"
"15 Riverwood Green, Castleknock, Dublin 15, Dublin 15, Dublin",Semi-D,3,3,117.0 m²,C3,—,08/01/2025,"€550,000","€575,000"
"Apt D, 18 Warrington Place, Dublin 2, Dublin 2, Dublin",Apartment,1,1,47.0 m²,—,—,08/01/2025,"€375,000","€402,200"
"62 Roebuck Rd, Clonskeagh, Dublin 14, Dublin 14, Dublin",Semi-D,3,1,128.0 m²,F,—,08/01/2025,"€795,000","€957,500"
"St Helier, 9 Avondale Park, Killiney, Dublin",Detached,5,2,155.0 m²,D2,—,08/01/2025,"€875,000","€965,000"
"3 Balally Park, Sandyford Rd, Dundrum Dublin 16, Dublin 16, Dublin",Semi-D,3,2,123.8 m²,D1,—,08/01/2025,"€695,000","€740,000"
"129 Wesbury, Stillorgan, Dublin, Dublin",Detached,4,2,137.0 m²,D1,—,08/01/2025,"€795,000","€800,000"
