Address_x,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Eircode,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,origin_for_api,latitude,longitude
"219 Llandaff Terrace, Merrion Road, Dublin 4, Dublin 4, Dublin",Terrace,3,2,133.0 m²,B3,—,02/01/2025,"€950,000","€1,050,000","219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",02/01/2025,"219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",Dublin,D04X5K5,"ï¿½1,050,000.00",No,No,Second-Hand Dwelling house /Apartment,,"D04X5K5, Ireland",53.31276949999999,-6.2024485
"9 Maple Lodge, Farmleigh Woods, Castleknock, Dublin 15, Dublin",Apartment,3,3,207.0 m²,B3,—,02/01/2025,"€1,550,000","€1,480,000","9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",02/01/2025,"9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",Dublin,D15WK31,"ï¿½1,480,000.00",No,No,Second-Hand Dwelling house /Apartment,,"D15WK31, Ireland",53.3672988,-6.3578391
"62 Wyattville Park, Dun Laoghaire, Dublin, Dublin",Semi-D,4,2,140.0 m²,D1,—,03/01/2025,"€595,000","€642,000","62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",03/01/2025,"62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",Dublin,A96W1D6,"ï¿½642,000.00",No,No,Second-Hand Dwelling house /Apartment,,"A96W1D6, Ireland",53.2509174,-6.1345438
"2a St Assams Rd West, Raheny, Dublin 5, Dublin 5, Dublin",Semi-D,4,3,134.0 m²,C3,—,03/01/2025,"€540,000","€605,000","2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",03/01/2025,"2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",Dublin,D05XH97,"ï¿½605,000.00",No,No,Second-Hand Dwelling house /Apartment,,"D05XH97, Ireland",53.3811889,-6.172217799999999
"1 Glengara Close, Glenageary Rd Lower, Dun Laoghaire, Dublin",Bungalow,2,1,60.0 m²,D2,—,03/01/2025,"€525,000","€610,000","1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",03/01/2025,"1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",Dublin,A96P8V0,"ï¿½610,000.00",No,No,Second-Hand Dwelling house /Apartment,,"A96P8V0, Ireland",53.2855011,-6.1319639
"Apt 3, Rookstown, Thormanby Rd, Dublin 13, Dublin",Apartment,2,2,78.0 m²,E1,—,03/01/2025,"€499,000","€499,000","APT 3, ROOKSTOWN, THORMANBY RD",03/01/2025,"APT 3, ROOKSTOWN, THORMANBY RD",Dublin,D13NY54,"ï¿½499,000.00",No,No,Second-Hand Dwelling house /Apartment,,"D13NY54, Ireland",53.3775466,-6.0571496
"4 Marconi Crescent, Honeypark Dun Laoghaire, Co Dublin, Dublin",End of Terrace,4,3,174.0 m²,B2,—,03/01/2025,"€895,000","€999,995","4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",03/01/2025,"4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",Dublin,A96CR62,"ï¿½999,995.00",No,No,Second-Hand Dwelling house /Apartment,,"A96CR62, Ireland",53.2817427,-6.145338
"36 Albany Road, Ranelagh, Dublin 6, Dublin 6, Dublin",Semi-D,3,2,131.7 m²,—,—,03/01/2025,"€1,395,000","€1,600,000","36 ALBANY ROAD, RANELAGH, DUBLIN 6",03/01/2025,"36 ALBANY ROAD, RANELAGH, DUBLIN 6",Dublin,D06N6F7,"ï¿½1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,,"D06N6F7, Ireland",53.3186493,-6.2503661
"13 Vico Rock, Sorrento Rd, Dalkey, Dublin",Apartment,2,1,52.0 m²,E1,—,03/01/2025,"€450,000","€460,000","13 VICO ROCK, SORRENTO RD, DALKEY",03/01/2025,"13 VICO ROCK, SORRENTO RD, DALKEY",Dublin,A96T925,"ï¿½460,000.00",No,No,Second-Hand Dwelling house /Apartment,,"A96T925, Ireland",53.2716133,-6.0967936
"43 Glandore Rd, Griffith Ave, Dublin 9, Dublin 15, Dublin",Detached,4,2,139.0 m²,E2,—,03/01/2025,"€795,000","€835,000","43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",03/01/2025,"43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",Dublin,D09F9N2,"ï¿½835,000.00",No,No,Second-Hand Dwelling house /Apartment,,"D09F9N2, Ireland",53.3740813,-6.23861
