Address_x,Eircode,Airport_distance_km,Airport_duration_min,Airport_distance_m,Airport_duration_s,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"219 Llandaff Terrace, Merrion Road, Dublin 4, Dublin 4, Dublin",D04X5K5,19.184,28.116666666666667,19184,1687,Terrace,3,2,133.0 m²,B3,—,02/01/2025,"€950,000","€1,050,000","219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",02/01/2025,"219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",Dublin,"ï¿½1,050,000.00",No,No,Second-Hand Dwelling house /Apartment,
"9 Maple Lodge, Farmleigh Woods, Castleknock, Dublin 15, Dublin",D15WK31,15.333,20.533333333333335,15333,1232,Apartment,3,3,207.0 m²,B3,—,02/01/2025,"€1,550,000","€1,480,000","9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",02/01/2025,"9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",Dublin,"ï¿½1,480,000.00",No,No,Second-Hand Dwelling house /Apartment,
"62 Wyattville Park, Dun Laoghaire, Dublin, Dublin",A96W1D6,40.692,33.6,40692,2016,Semi-D,4,2,140.0 m²,D1,—,03/01/2025,"€595,000","€642,000","62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",03/01/2025,"62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",Dublin,"ï¿½642,000.00",No,No,Second-Hand Dwelling house /Apartment,
"2a St Assams Rd West, Raheny, Dublin 5, Dublin 5, Dublin",D05XH97,10.37,22.75,10370,1365,Semi-D,4,3,134.0 m²,C3,—,03/01/2025,"€540,000","€605,000","2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",03/01/2025,"2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",Dublin,"ï¿½605,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Glengara Close, Glenageary Rd Lower, Dun Laoghaire, Dublin",A96P8V0,44.683,39.81666666666667,44683,2389,Bungalow,2,1,60.0 m²,D2,—,03/01/2025,"€525,000","€610,000","1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",03/01/2025,"1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",Dublin,"ï¿½610,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 3, Rookstown, Thormanby Rd, Dublin 13, Dublin",D13NY54,19.335,33.28333333333333,19335,1997,Apartment,2,2,78.0 m²,E1,—,03/01/2025,"€499,000","€499,000","APT 3, ROOKSTOWN, THORMANBY RD",03/01/2025,"APT 3, ROOKSTOWN, THORMANBY RD",Dublin,"ï¿½499,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Marconi Crescent, Honeypark Dun Laoghaire, Co Dublin, Dublin",A96CR62,38.958,39.2,38958,2352,End of Terrace,4,3,174.0 m²,B2,—,03/01/2025,"€895,000","€999,995","4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",03/01/2025,"4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",Dublin,"ï¿½999,995.00",No,No,Second-Hand Dwelling house /Apartment,
"36 Albany Road, Ranelagh, Dublin 6, Dublin 6, Dublin",D06N6F7,19.702,32.63333333333333,19702,1958,Semi-D,3,2,131.7 m²,—,—,03/01/2025,"€1,395,000","€1,600,000","36 ALBANY ROAD, RANELAGH, DUBLIN 6",03/01/2025,"36 ALBANY ROAD, RANELAGH, DUBLIN 6",Dublin,"ï¿½1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Vico Rock, Sorrento Rd, Dalkey, Dublin",A96T925,45.447,43.95,45447,2637,Apartment,2,1,52.0 m²,E1,—,03/01/2025,"€450,000","€460,000","13 VICO ROCK, SORRENTO RD, DALKEY",03/01/2025,"13 VICO ROCK, SORRENTO RD, DALKEY",Dublin,"ï¿½460,000.00",No,No,Second-Hand Dwelling house /Apartment,
"43 Glandore Rd, Griffith Ave, Dublin 9, Dublin 15, Dublin",D09F9N2,7.9,16.183333333333334,7900,971,Detached,4,2,139.0 m²,E2,—,03/01/2025,"€795,000","€835,000","43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",03/01/2025,"43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",Dublin,"ï¿½835,000.00",No,No,Second-Hand Dwelling house /Apartment,
