Address_x,Eircode,ifsc_distance_km,ifsc_duration_min,ifsc_distance_m,ifsc_duration_s,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"219 Llandaff Terrace, Merrion Road, Dublin 4, Dublin 4, Dublin",D04X5K5,8.048,39.666666666666664,8048.0,2380.0,Terrace,3,2,133.0 m²,B3,—,02/01/2025,"€950,000","€1,050,000","219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",02/01/2025,"219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",Dublin,"ï¿½1,050,000.00",No,No,Second-Hand Dwelling house /Apartment,
"9 Maple Lodge, Farmleigh Woods, Castleknock, Dublin 15, Dublin",D15WK31,11.285,65.35,11285.0,3921.0,Apartment,3,3,207.0 m²,B3,—,02/01/2025,"€1,550,000","€1,480,000","9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",02/01/2025,"9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",Dublin,"ï¿½1,480,000.00",No,No,Second-Hand Dwelling house /Apartment,
"62 Wyattville Park, Dun Laoghaire, Dublin, Dublin",A96W1D6,16.628,69.81666666666666,16628.0,4189.0,Semi-D,4,2,140.0 m²,D1,—,03/01/2025,"€595,000","€642,000","62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",03/01/2025,"62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",Dublin,"ï¿½642,000.00",No,No,Second-Hand Dwelling house /Apartment,
"2a St Assams Rd West, Raheny, Dublin 5, Dublin 5, Dublin",D05XH97,7.264,36.18333333333333,7264.0,2171.0,Semi-D,4,3,134.0 m²,C3,—,03/01/2025,"€540,000","€605,000","2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",03/01/2025,"2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",Dublin,"ï¿½605,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Glengara Close, Glenageary Rd Lower, Dun Laoghaire, Dublin",A96P8V0,13.319,46.86666666666667,13319.0,2812.0,Bungalow,2,1,60.0 m²,D2,—,03/01/2025,"€525,000","€610,000","1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",03/01/2025,"1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",Dublin,"ï¿½610,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 3, Rookstown, Thormanby Rd, Dublin 13, Dublin",D13NY54,16.128,64.81666666666666,16128.0,3889.0,Apartment,2,2,78.0 m²,E1,—,03/01/2025,"€499,000","€499,000","APT 3, ROOKSTOWN, THORMANBY RD",03/01/2025,"APT 3, ROOKSTOWN, THORMANBY RD",Dublin,"ï¿½499,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Marconi Crescent, Honeypark Dun Laoghaire, Co Dublin, Dublin",A96CR62,14.089,53.93333333333333,14089.0,3236.0,End of Terrace,4,3,174.0 m²,B2,—,03/01/2025,"€895,000","€999,995","4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",03/01/2025,"4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",Dublin,"ï¿½999,995.00",No,No,Second-Hand Dwelling house /Apartment,
"36 Albany Road, Ranelagh, Dublin 6, Dublin 6, Dublin",D06N6F7,5.458,33.31666666666667,5458.0,1999.0,Semi-D,3,2,131.7 m²,—,—,03/01/2025,"€1,395,000","€1,600,000","36 ALBANY ROAD, RANELAGH, DUBLIN 6",03/01/2025,"36 ALBANY ROAD, RANELAGH, DUBLIN 6",Dublin,"ï¿½1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Vico Rock, Sorrento Rd, Dalkey, Dublin",A96T925,15.774,53.25,15774.0,3195.0,Apartment,2,1,52.0 m²,E1,—,03/01/2025,"€450,000","€460,000","13 VICO ROCK, SORRENTO RD, DALKEY",03/01/2025,"13 VICO ROCK, SORRENTO RD, DALKEY",Dublin,"ï¿½460,000.00",No,No,Second-Hand Dwelling house /Apartment,
"43 Glandore Rd, Griffith Ave, Dublin 9, Dublin 15, Dublin",D09F9N2,4.102,32.166666666666664,4102.0,1930.0,Detached,4,2,139.0 m²,E2,—,03/01/2025,"€795,000","€835,000","43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",03/01/2025,"43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",Dublin,"ï¿½835,000.00",No,No,Second-Hand Dwelling house /Apartment,
"50 Roebuck Castle, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14V406,9.118,68.01666666666667,9118.0,4081.0,Terrace,3,1,81.0 m²,C1,—,06/01/2025,"€625,000","€715,000","50 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14",06/01/2025,"50 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½715,000.00",No,No,Second-Hand Dwelling house /Apartment,
"17 Westhaven, Clonsilla, Dublin 15, Dublin 15, Dublin",D15EK6X,14.914,67.5,14914.0,4050.0,Semi-D,3,2,87.0 m²,C3,—,06/01/2025,"€330,000","€386,000","17 WESTHAVEN, CLONSILLA, DUBLIN 15",06/01/2025,"17 WESTHAVEN, CLONSILLA, DUBLIN 15",Dublin,"ï¿½386,000.00",No,No,Second-Hand Dwelling house /Apartment,
